Traditional,Simplified,Pinyin,Meaning
一,一,yī,one
在,在,zài,exist
有,有,yǒu,have
個,个,gè,indivual
我,我,wǒ,I
不,不,bù,No
這,这,zhè,this
他,他,tā,he
也,也,yě,also
就,就,jiù,At once
人,人,rén,people
都,都,dōu,All
說,说,shuō,explain
而,而,ér,and
們,们,men,them
你,你,nǐ,you
了,了,le,Got it
要,要,yào,want
會,会,huì,meeting
對,对,duì,right
及,及,jí,and
和,和,hé,and
與,与,yǔ,and
以,以,yǐ,by
很,很,hěn,very
種,种,zhǒng,kind
的,的,de,of
大,大,dà,big
能,能,néng,able
著,着,zhe,With
她,她,tā,she
那,那,nà,That
上,上,shàng,superior
但,但,dàn,but
年,年,nián,Year
還,还,hái,return
可以,可以,kěyǐ,Can
最,最,zuì,most
自己,自己,zìjǐ,Own
為,为,wéi,for
來,来,lái,Come
所,所,suǒ,Place
他們,他们,tāmen,them
兩,两,liǎng,two
各,各,gè,each
可,可,kě,Can
為,为,wéi,for
或,或,huò,or
好,好,hǎo,good
等,等,děng,wait
又,又,yòu,again
將,将,jiāng,Will
因為,因为,yīnwèi,because
於,于,yú,At
由,由,yóu,Depend on
從,从,cóng,from
更,更,gèng,Even
被,被,bèi,quilt
才,才,cái,talent
已,已,yǐ,already
者,者,zhě,who
每,每,měi,Every
次,次,cì,Second-rate
把,把,bǎ,Bundle
三,三,sān,three
什麼,什么,shénme,What
問題,问题,wèntí,question
其,其,qí,That
讓,让,ràng,let
此,此,cǐ,this
做,做,zuò,Do
再,再,zài,Again
所以,所以,suǒyǐ,so
只,只,zhǐ,Only
則,则,zé,but
台灣,台湾,Táiwān,Taiwan
卻,却,què,but
並,并,bìng,and
位,位,wèi,Bit
想,想,xiǎng,think
去,去,qù,go
呢,呢,ne,Woolen cloth
學生,学生,xuéshēng,student
表示,表示,biǎoshì,express
到,到,dào,arrive
公司,公司,gōngsī,company
將,将,jiāng,Will
如果,如果,rúguǒ,if
社會,社会,shèhuì,society
看,看,kàn,look
小,小,xiǎo,Small
天,天,tiān,sky
因此,因此,yīncǐ,therefore
新,新,xīn,new
但是,但是,dànshì,but
它,它,tā,it
中,中,zhōng,middle
使,使,shǐ,make
工作,工作,gōngzuò,Work
全,全,quán,Complete
覺得,觉得,juéde,feel
使用,使用,shǐyòng,use
這些,这些,zhèxiē,These
裡,里,lǐ,inside
並,并,bìng,and
由於,由于,yóuyú,because
時候,时候,shíhòu,when
知道,知道,zhīdào,Know
這樣,这样,zhèyàng,so
一,一,yī,one
認為,认为,rènwéi,think
時間,时间,shíjiān,time
事,事,shì,case
過,过,guò,Pass
向,向,xiàng,Towards
可能,可能,kěnéng,possible
中國,中国,Zhōngguó,China
美國,美国,Měiguó,USA
到,到,dào,arrive
和,和,hé,and
幾,几,jǐ,Several
系統,系统,xìtǒng,system
政府,政府,zhèngfǔ,government
大家,大家,dàjiā,Everyone
國家,国家,guójiā,nation
許多,许多,xǔduō,many
生活,生活,shēnghuó,Life
跟,跟,gēn,and
已經,已经,yǐjīng,already
大學,大学,dàxué,University
研究,研究,yánjiù,Research
因,因,yīn,because
本,本,běn,book
二,二,èr,two
活動,活动,huódòng,Activity
該,该,gāi,Should
世界,世界,shìjiè,world
應,应,yīng,answer
四,四,sì,Four
希望,希望,xīwàng,hope
方式,方式,fāngshì,Way
內,内,nèi,Inside
項,项,xiàng,item
啊,啊,ā,ah
下,下,xià,Down
環境,环境,huánjìng,environment
一些,一些,yīxiē,Some
必須,必须,bìxū,must
文化,文化,wénhuà,culture
高,高,gāo,high
孩子,孩子,háizi,child
沒有,没有,méiyǒu,No
不能,不能,bùnéng,cannot
如,如,rú,like
開始,开始,kāishǐ,start
元,元,yuán,Yuan
不同,不同,bùtóng,different
仍,仍,réng,still
網路,网路,wǎnglù,network
日本,日本,rìběn,Japan
用,用,yòng,use
中心,中心,zhōngxīn,center
來,来,lái,Come
對,对,duì,right
雖然,虽然,suīrán,Although
